species,date,price,price_low,price_high,source,market
梭子蟹,2026-08-21,42.5,30.0,55.0,市场走访报道,日照批发市场（南方蟹）
梭子蟹,2026-09-10,50.0,35.0,65.0,市场走访报道,无锡市场（普通/优质）
皮皮虾,2026-08-20,58.0,,,北海晚报,北海市场走访（大规格）
虾蟹类,2023-10-15,33.865,,,moa,全国批发市场均价
虾蟹类,2023-11-15,31.76,,,moa,全国批发市场均价
虾蟹类,2024-02-15,41.475,,,moa,全国批发市场均价
虾蟹类,2024-03-15,37.535,,,moa,全国批发市场均价
虾蟹类,2024-04-15,37.815,,,moa,全国批发市场均价
虾蟹类,2024-05-15,33.66,,,moa,全国批发市场均价
虾蟹类,2024-06-15,32.11,,,moa,全国批发市场均价
虾蟹类,2024-11-15,32.42,,,moa,全国批发市场均价
虾蟹类,2024-12-15,32.755,,,moa,全国批发市场均价
虾蟹类,2025-06-15,28.27,,,moa,全国批发市场均价
虾蟹类,2025-08-15,28.01,,,moa,全国批发市场均价
虾蟹类,2025-10-15,28.33,,,moa,全国批发市场均价
虾蟹类,2025-11-15,26.16,,,moa,全国批发市场均价
虾蟹类,2025-12-15,29.08,,,moa,全国批发市场均价
虾蟹类,2026-01-15,34.89,,,moa,全国批发市场均价
虾蟹类,2026-02-15,38.475,,,moa,全国批发市场均价
虾蟹类,2026-06-15,33.2,,,moa,全国批发市场均价
虾蟹类,2026-07-15,32.4,,,moa,全国批发市场均价
贝类,2023-10-15,9.43,,,moa,全国批发市场均价
贝类,2023-11-15,9.785,,,moa,全国批发市场均价
贝类,2024-02-15,10.58,,,moa,全国批发市场均价
贝类,2024-03-15,10.45,,,moa,全国批发市场均价
贝类,2024-04-15,9.915,,,moa,全国批发市场均价
贝类,2024-05-15,9.84,,,moa,全国批发市场均价
贝类,2024-06-15,9.43,,,moa,全国批发市场均价
贝类,2024-11-15,9.23,,,moa,全国批发市场均价
贝类,2024-12-15,9.855,,,moa,全国批发市场均价
贝类,2025-06-15,8.94,,,moa,全国批发市场均价
贝类,2025-08-15,9.955,,,moa,全国批发市场均价
贝类,2025-10-15,10.36,,,moa,全国批发市场均价
贝类,2025-11-15,10.845,,,moa,全国批发市场均价
贝类,2025-12-15,11.035,,,moa,全国批发市场均价
贝类,2026-01-15,11.505,,,moa,全国批发市场均价
贝类,2026-02-15,11.825,,,moa,全国批发市场均价
贝类,2026-06-15,10.1,,,moa,全国批发市场均价
贝类,2026-07-15,10.05,,,moa,全国批发市场均价
